LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1733303844.183199,308876.000,48303,2,RD,1,100,TL
1733303844.183199,308876.000,48303,2,RD,1,100,TU
1733303846.746706,311439.500,49140,2,RD,1,100,TL
1733303849.310214,314003.000,49140,2,RD,1,100,TU
1733303851.869221,316562.000,49975,2,RD,1,100,TL
1733303854.428229,319121.000,49975,2,RD,1,100,TU
1733303856.987736,321680.500,50812,2,RD,1,100,TL
1733303859.547244,324240.000,50812,2,RD,1,100,TU
1733303862.110752,326803.500,51647,2,RD,1,100,TL
1733303864.674259,329367.000,51647,2,RD,1,100,TU
1733303867.238266,331931.000,52482,2,RD,1,100,TL
1733303869.802274,334495.000,52482,2,RD,1,100,TU
1733303872.357282,337050.000,53321,2,RD,1,100,TL
1733303874.912289,339605.000,53321,2,RD,1,100,TU
1733303877.471797,342164.500,54156,2,RD,1,100,TL
1733303880.031304,344724.000,54156,2,RD,1,100,TU
1733303882.594812,347287.500,54994,2,RD,1,100,TL
1733303885.158319,349851.000,54994,2,RD,1,100,TU
1733303887.717827,352410.500,55829,2,RD,1,100,TL
1733303890.277334,354970.000,55829,2,RD,1,100,TU
1733303892.841842,357534.500,56662,2,RD,1,100,TL
1733303895.406349,360099.000,56662,2,RD,1,100,TU
1733303897.974857,362667.500,57498,2,RD,1,100,TL
1733303900.543364,365236.000,57498,2,RD,1,100,TU
1733303903.110372,367803.000,58332,2,RD,1,100,TL
1733303905.677379,370370.000,58332,2,RD,1,100,TU
1733303908.246887,372939.500,59165,2,RD,1,100,TL
1733303910.816395,375509.000,59165,2,RD,1,100,TU
1733303913.372402,378065.000,59985,2,RD,1,100,TL
1733303915.928410,380621.000,59985,2,RD,1,100,TU
1733303918.495417,383188.000,60820,2,RD,1,100,TL
1733303921.062425,385755.000,60820,2,RD,1,100,TU
1733303923.629432,388322.000,61656,2,RD,1,100,TL
1733303926.196440,390889.000,61656,2,RD,1,100,TU
1733303928.754947,393447.500,62491,2,RD,1,100,TL
1733303931.313455,396006.000,62491,2,RD,1,100,TU
1733303933.873962,398566.500,63326,2,RD,1,100,TL
1733303936.434470,401127.000,63326,2,RD,1,100,TU
1733303939.000477,403693.000,64164,2,RD,1,100,TL
1733303941.566485,406259.000,64164,2,RD,1,100,TU
1733303944.118992,408811.500,64997,2,RD,1,100,TL
1733303946.671500,411364.000,64997,2,RD,1,100,TU
1733303949.225007,413917.500,282,2,RD,1,100,TL
1733303951.778515,416471.000,282,2,RD,1,100,TU
1733303954.346522,419039.000,1132,2,RD,1,100,TL
1733303956.914530,421607.000,1132,2,RD,1,100,TU
1733303959.470037,424162.500,1967,2,RD,1,100,TL
1733303962.025545,426718.000,1967,2,RD,1,100,TU
1733303964.577552,429270.000,2801,2,RD,1,100,TL
1733303967.129560,431822.000,2801,2,RD,1,100,TU
1733303969.683568,434376.000,3637,2,RD,1,100,TL
1733303972.237575,436930.000,3637,2,RD,1,100,TU
